courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Wer ist der Autor von Les Fleurs du Mal?,"Charles Baudelaire veröffentlichte 1857 Les Fleurs du Mal, die Geburtsurkunde der modernen Poesie.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Warum wurden Les Fleurs du Mal 1857 verurteilt?,"Die Sammlung wurde wegen „Verletzung der öffentlichen Moral“ verurteilt, ein Skandal, der erst 1949 offiziell aufgehoben wurde.","[""Wegen „Verstoß gegen die öffentliche Moral“"", ""Wegen Plagiaten"", ""Wegen Anstiftung zu politischer Gewalt"", ""Wegen Gefährdung der Staatssicherheit""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,In welchem ​​Jahr wurden die sechs verurteilten Gedichte aus Les Fleurs du Mal offiziell rehabilitiert?,"Die sechs 1857 verurteilten Gedichte wurden erst 1949, 92 Jahre später, offiziell rehabilitiert.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Was stellt der Albatros im Abschnitt „Milz und Ideal“ dar?,"Der Albatros, majestätisch im Flug, aber lächerlich, sobald er auf den Boden gelegt wird, repräsentiert den Dichter in einer Welt, die ihn nicht versteht.","[""Der Dichter, majestätisch im Flug, aber lächerlich am Boden"", ""Völlige Freiheit des Künstlers"", ""Der unvermeidliche Tod"", ""Unerreichbare Schönheit""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Welcher Teil der Sammlung macht Paris zu einer psychologischen Landschaft?,"„Parisian Paintings“ verwandelt die Stadt in eine psychologische Landschaft. Der Dichter wandert dort als Spaziergänger, als Beobachter des Pariser Lebens unter Haussmann.","[""„Pariser Gemälde“"", ""„Milz und Ideal“"", ""„Der Wein“"", ""\""Tod\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Welches Gedicht beschreibt die Natur als einen „Tempel“ von Zeichen, die Düfte, Farben und Geräusche verbinden?","„Correspondences“ beschreibt die Natur als Tempel der Zeichen. Dort vermischen sich die Sinne: Düfte, Farben und Klänge reagieren aufeinander.","[""\""Korrespondenz\"""", ""„Der Albatros“"", ""\""Milz\"""", ""\""Sammlung\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Richtig oder falsch: Baudelaire lehnt klassische poetische Formen wie das Sonett gänzlich ab.,Baudelaire hingegen verbindet die klassischen Formen wie das Sonett und die Alexandrine mit einer radikal neuen poetischen Vision.,"[""Wahr"", ""Falsch""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Welche poetische Richtung fand die Poetik der Korrespondenz Baudelaires, die später von Verlaine und Mallarmé getragen wurde?","Diese Poetik der Korrespondenzen begründete den Symbolismus, der später von Verlaine und Mallarmé getragen wurde.","[""Die Symbolik"", ""Romantik"", ""Naturalismus"", ""Klassizismus""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Welchen amerikanischen Schriftsteller, der als „Seelenbruder“ beschrieben wurde, übersetzte Baudelaire?","Baudelaire übersetzte Edgar Poe, den er als „Seelenbruder“ betrachtete, der seine Vorliebe für das Makabre teilte.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,"Wie fasst Baudelaire seine poetische Alchemie, Schönheit aus Schlamm zu gewinnen, zusammen?",Baudelaire fasst sein Projekt mit dieser Formel zusammen: „Du hast mir deinen Schlamm gegeben und ich habe daraus Gold gemacht“.,"[""„Du hast mir deinen Schlamm gegeben und ich habe daraus Gold gemacht“"", ""„Schönheit ist ewig“"", ""„Böses erzeugt Böses“"", ""„Kunst um der Kunst willen“""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Wie ist George Orwells richtiger Name?,George Orwell ist das Pseudonym von Eric Arthur Blair.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,"Welchen Konflikt kämpfte Orwell, bevor er 1984 schrieb?","Orwell kämpfte zwischen 1936 und 1937 in den POUM-Milizen während des Spanischen Bürgerkriegs, wo er verletzt wurde.","[""Der spanische Bürgerkrieg"", ""Der Erste Weltkrieg"", ""Der Burenkrieg"", ""Der Algerienkrieg""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"Was hat Orwell bei dieser Erfahrung am meisten beeindruckt, abgesehen von der Gewalt?","Was Orwell am meisten beeindruckt, ist die Tatsache, dass Zeitungen die Vergangenheit umschreiben und Kämpfer ausradieren – eine Obsession mit Staatslügen, die den Roman befeuert.","[""Die Verfälschung von Fakten und der Vergangenheit durch Propaganda"", ""Mangel an Nahrung"", ""Der Verrat seiner Kameraden"", ""Zensur der ausländischen Presse""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Welches echte totalitäre Regime inspiriert das Ozeanien-System?,Das ozeanische System ist insbesondere vom sowjetischen Totalitarismus als Vorbild inspiriert.,"[""Sowjetischer Totalitarismus"", ""Italienischer Faschismus"", ""Das Vichy-Regime"", ""Das britische Empire""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,"Wie heißt die einzige Partei, die Ozeanien regiert?","Ozeanien wird von Ingsoc geleitet, das auf vier paradoxen Prinzipien basiert: Frieden, Fülle, Liebe und Wahrheit.","[""Ingsoc"", ""Die Volkspartei"", ""Die Rote Liga"", ""Der Zentralblock""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Was macht Winston Smith für die Arbeit im Ministerium für Wahrheit?,"Winston Smith arbeitet im Ministerium für Wahrheit, wo er die Vergangenheit auslöscht, um sie an die von der Partei definierte Gegenwart anzupassen.","[""Er löscht die Vergangenheit und schreibt sie neu, um sie an die Gegenwart der Partei anzupassen"", ""Er überwacht die Bürger über Telescreens"", ""Er schreibt die Reden von Big Brother"", ""Er bildet neue Parteimitglieder aus""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,"Wie nennt man im Jahr 1984 die Fähigkeit, zwei widersprüchliche Wahrheiten gleichzeitig zu akzeptieren?","Doppeldenken bezieht sich auf die Fähigkeit, zwei widersprüchliche Wahrheiten gleichzeitig zu akzeptieren, eine Säule der Gedankenkontrolle der Partei.","[""Doppeldenken"", ""Neusprech"", ""Der Televisor"", ""Ingsoc""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Warum reduziert die Partei den Wortschatz durch Neusprech?,"Neusprech reduziert das verfügbare Vokabular, sodass kritisches Denken selbst nicht mehr formulierbar ist.","[""Kritisches Denken unmöglich machen"", ""Um die Verwaltung zu vereinfachen"", ""Um den internationalen Handel zu erleichtern"", ""Um regionale Dialekte zu vereinheitlichen""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Ordnen Sie diese Phasen in Orwells Leben und Werk.,"Diese vier Phasen kennzeichnen Orwells Karriere: der spanische Bürgerkrieg (1936-1937), die Farm der Tiere (1945), 1984 (1949) und dann sein Tod im Jahr 1950.",,,"[""Orwell kämpfte während des Spanischen Bürgerkriegs in den POUM-Milizen"", ""Er veröffentlicht Animal Farm"", ""Er veröffentlichte 1984"", ""Er starb kurz nach der Veröffentlichung seines Romans in Schottland.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Richtig oder falsch: Am Ende des Romans liebt Winston Smith Big Brother.,"Der Totalitarismus gewinnt auf psychologischer Ebene: Winston gehorcht nicht nur, er lernt auch, Big Brother zu lieben.","[""Wahr"", ""Falsch""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Welches historische Ereignis stellt Animal Farm in Form einer Allegorie dar?,Orwell übersetzt die großen Etappen der Russischen Revolution und des stalinistischen Verrats in eine Tierfabel.,"[""Die Russische Revolution"", ""Die Französische Revolution"", ""Der spanische Bürgerkrieg"", ""Die englische industrielle Revolution""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Welches Tier stellt Stalin in Orwells Allegorie dar?,"Napoleon, das Schwein, das nach der Jagd auf Schneeball gewaltsam die Macht übernimmt, modelliert die Figur Stalins.","[""Napoleon"", ""Der alte Major"", ""Schneeball"", ""Malabar""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q3,trueFalse,"Richtig oder falsch: Herausgeber T.S. Eliot weigerte sich, Orwells Manuskript zu veröffentlichen, weil er befürchtete, dass kluge Schweine Staatsmänner beleidigen würden.","T.S. Eliot, der damalige Herausgeber, lehnte das Manuskript aus diesem Grund tatsächlich ab.","[""Wahr"", ""Falsch""]",0,,,,,,
